"TIME","CH1","CH2","CH3"
-1.9408e+00,-0.07,-0.01,-0.02
-1.9404e+00,-0.1,-0.02,-0.03
-1.9400e+00,-0.09,0,-0.01
-1.9396e+00,-0.06,0.02,-0.01
-1.9392e+00,-0.05,0.02,0.01
-1.9388e+00,-0.08,-0.01,-0.02
-1.9384e+00,-0.03,-0.01,-0.01
-1.9380e+00,-0.03,0,0
-1.9376e+00,-0.04,0.02,0.01
-1.9372e+00,-0.03,0,0.01
-1.9368e+00,-0.03,-0.02,-0.02
-1.9364e+00,-0.02,0.01,-0.01
-1.9360e+00,0.04,0.01,0
-1.9356e+00,0.02,0.02,0.01
-1.9352e+00,0.02,0.01,0
-1.9348e+00,0.03,-0.01,-0.01
-1.9344e+00,0.05,0.02,-0.01
-1.9340e+00,0.05,0.01,0.02
-1.9336e+00,0.06,0.02,0
-1.9332e+00,0.05,0.01,0.01
-1.9328e+00,0.03,-0.02,-0.02
-1.9324e+00,0.05,-0.01,0.01
-1.9320e+00,0.1,0.03,0.01
-1.9316e+00,0.09,0,-0.01
-1.9312e+00,0.06,0,0
-1.9308e+00,0.03,-0.03,-0.03
-1.9304e+00,0.04,0.01,-0.01
-1.9300e+00,0.05,0.01,0.01
-1.9296e+00,0.03,0,-0.02
-1.9292e+00,0.01,-0.01,-0.02
-1.9288e+00,0.01,-0.03,-0.03
-1.9284e+00,0.02,0.01,0.01
-1.9280e+00,0.03,0.02,0.02
-1.9276e+00,-0.01,0,0
-1.9272e+00,-0.06,-0.03,-0.01
-1.9268e+00,-0.06,0,-0.03
-1.9264e+00,-0.03,0.01,0
-1.9260e+00,-0.04,0.01,0.01
-1.9256e+00,-0.06,0.01,-0.03
-1.9252e+00,-0.07,-0.03,-0.01
-1.9248e+00,-0.06,0.01,-0.01
-1.9244e+00,-0.04,0.02,0
-1.9240e+00,-0.07,0,0
-1.9236e+00,-0.1,-0.03,0
-1.9232e+00,-0.09,0.01,-0.01
-1.9228e+00,-0.04,0.01,0.01
-1.9224e+00,-0.04,0.01,0.01
-1.9220e+00,-0.05,0.01,0
-1.9216e+00,-0.06,-0.01,-0.01
-1.9212e+00,-0.04,0.01,0
-1.9208e+00,-0.02,0,0.01
-1.9204e+00,-0.01,0.02,0
-1.9200e+00,-0.01,0,0.01
-1.9196e+00,-0.02,-0.01,0
-1.9192e+00,1.42109e-16,0.03,-0.01
-1.9188e+00,0.02,0.02,-0.01
-1.9184e+00,0.04,0.01,0.01
-1.9180e+00,0.02,-0.01,-0.01
-1.9176e+00,0.02,-0.01,0
-1.9172e+00,0.05,0,0
-1.9168e+00,0.06,0,0.02
-1.9164e+00,0.06,0,0
-1.9160e+00,0.05,0,-0.01
-1.9156e+00,0.04,0,-0.01
-1.9152e+00,0.05,0.01,0
-1.9148e+00,0.09,0.03,0.01
-1.9144e+00,0.05,-0.01,0
-1.9140e+00,0.01,-0.03,-0.01
-1.9136e+00,0.02,-0.01,0.01
-1.9132e+00,0.08,0.02,0
-1.9128e+00,0.06,0,0.01
-1.9124e+00,1.42109e-16,0,-0.01
-1.9120e+00,-0.02,-0.01,0
-1.9116e+00,-0.01,0,-0.02
-1.9112e+00,1.42109e-16,0.02,0.01
-1.9108e+00,0.01,0.01,0
-1.9104e+00,-0.06,-0.03,-0.03
-1.9100e+00,-0.04,0.01,-0.01
-1.9096e+00,-0.05,0,0.01
-1.9092e+00,-0.04,0.02,0.02
-1.9088e+00,-0.05,0,-0.01
-1.9084e+00,-0.1,-0.01,-0.01
-1.9080e+00,-0.08,-0.01,-0.01
-1.9076e+00,-0.06,0.01,0
-1.9072e+00,-0.07,0,-0.01
-1.9068e+00,-0.07,0,-0.02
-1.9064e+00,-0.07,0,-0.02
-1.9060e+00,-0.05,0,0
-1.9056e+00,-0.02,0.03,0.02
-1.9052e+00,-0.03,0.02,0
-1.9048e+00,-0.07,-0.02,-0.03
-1.9044e+00,-0.05,-0.03,-0.01
-1.9040e+00,-0.01,0.01,-0.01
-1.9036e+00,1.42109e-16,0.03,0.01
-1.9032e+00,-0.01,0.02,-0.01
-1.9028e+00,-0.02,-0.03,-0.01
-1.9024e+00,-0.02,-0.02,-0.03
-1.9020e+00,0.03,0.03,0.01
-1.9016e+00,0.04,0.01,0.01
-1.9012e+00,0.02,0,-0.01
-1.9008e+00,0.03,-0.01,-0.01
-1.9004e+00,0.06,0.01,0.01
-1.9000e+00,0.07,0.01,0.02
-1.8996e+00,0.06,0,0.02
-1.8992e+00,0.06,0.01,0.01
-1.8988e+00,0.08,0.01,-0.01
-1.8984e+00,0.07,0,0
-1.8980e+00,0.07,0.02,0.02
-1.8976e+00,0.06,-0.02,-0.01
-1.8972e+00,0.02,-0.03,-0.01
-1.8968e+00,0.02,0.01,-0.02
-1.8964e+00,0.04,0.02,0
-1.8960e+00,0.04,0.01,0.01
-1.8956e+00,1.42109e-16,0,-0.02
-1.8952e+00,1.42109e-16,-0.02,-0.01
-1.8948e+00,-0.01,0.01,-0.03
-1.8944e+00,1.42109e-16,0.03,-0.01
-1.8940e+00,-0.02,-0.02,-0.02
-1.8936e+00,-0.05,-0.02,-0.01
