[-2, -2, -1, -5, -4, -2, -2, 5]
[1, -2, -1, -1, 0, 4, 5, 0]
[0, -1, -2, 0, 1, -36, 1, 13]
[-1, 0, 0, -2, -6, 16, 0, -11]
[-1, -1, -2, 2, 0, 11, -1, -2]
[0, 1, 1, 1, 2, -15, -1, 4]
[-2, -2, 1, 1, 0, 0, -1, -1]
[-3, -1, -3, -4, -2, -5, -1, -3]
[-2, 3, 2, 0, -1, -22, -3, -7]
[1, -1, -1, -2, -1, 1, 4, 2]
[-1, 0, -1, -2, -1, -6, 0, -1]
[0, -1, 0, -1, -1, -2, 1, 3]
[-1, -1, -3, 0, 0, 22, -2, -2]
[-3, 0, 2, 2, 2, 4, -2, 1]
[-1, -3, -3, -3, -3, 4, 0, 1]
[1, -1, 0, 0, 0, -11, -3, -1]
[-1, -1, 2, 1, -1, -11, -2, -12]
[0, -2, -3, -2, 0, 11, 2, 19]
[0, 1, -1, 0, -8, 1, 7, 5]
[0, 0, 1, -3, 9, -1, 6, 1]
[-2, -1, -1, 2, 5, 26, 3, 0]
[-1, -2, 0, -3, -11, -6, -2, -3]
[1, 1, -2, -3, -10, 5, -2, 6]
[0, 0, -1, 3, 12, -6, -2, -7]
[0, -1, -1, 0, -2, 5, 2, 1]
[-2, -3, 1, -7, -1, 3, 2, -3]
[-2, -2, 0, 1, 0, 1, -1, 9]
[7, 2, 1, 1, -2, -4, 29, 15]
[-1, 0, 0, -1, -5, -6, 0, 0]
[-2, 1, 0, 3, 4, -5, -12, -6]
[0, 0, 0, 2, 6, -31, -3, -4]
[-1, -1, -2, -3, 0, 7, 1, -6]
[-2, -2, -2, -1, 2, -30, -2, -2]
[-2, -2, -2, -3, -7, 9, 1, -7]
[-1, 1, 0, 0, 2, 6, 1, 1]
[-1, 1, 3, 4, 3, -3, -4, 0]
[-1, 0, -1, -4, -3, 12, 2, -2]
[-2, 1, -4, -4, -5, -26, 0, 2]
[-3, -2, 0, -2, -2, -4, -2, -1]
[0, -3, -1, 2, -3, -20, -4, -2]
[-2, 0, -3, -4, -4, 5, -1, -2]
[-2, -1, 0, -1, 11, 4, 3, 0]
[-1, -1, -1, 1, 6, 3, -4, 1]
[-1, -1, -2, -6, -7, 12, -1, 2]
[-1, -1, -3, 1, -2, -4, 1, -1]
[-2, 1, -2, -2, -8, -21, -3, -3]
[0, 1, 3, 5, 1, -5, 3, 3]
[0, -1, 1, -1, -2, 5, -4, -3]
[-2, -1, -2, -1, 4, -19, -8, -3]
[-2, 0, 1, -6, -9, 13, 2, -6]
[0, 0, 0, -1, -5, -5, -1, 0]
[1, -1, 0, 5, 11, 21, 3, 0]
[-3, -1, -1, -8, -14, 8, 1, 1]
[0, 0, -1, 0, -1, -6, -6, -9]
[0, 0, 1, 3, 8, 12, 4, 3]
[-2, -1, -2, -1, -7, -7, -8, -4]
[1, -2, -1, -3, -2, 5, -1, 3]
[-2, -2, -3, -2, 9, -5, -1, -5]
[1, 0, 1, -2, -6, 3, 7, 2]
[-1, 1, 1, 1, 0, -2, 0, 2]
[-3, -3, -4, -2, -4, -7, -4, 1]
[1, -3, -1, -1, 2, -1, 3, -20]
[-3, -3, -4, -5, -1, -5, -5, -14]
[9, 2, 2, 2, 1, 22, 8, 46]
[-2, 0, -1, -5, -3, 23, 7, 15]
[-1, -6, -8, -1, -2, -11, -18, -54]
[-11, -5, -6, -5, -4, -20, -6, -28]
[-3, 1, 6, 7, 13, -3, 9, -17]
[-3, -7, -7, -6, -9, -20, -11, -48]
[-5, 0, -1, 0, 7, 48, 9, -52]
[7, 0, -1, 1, -8, -24, -7, -16]
[-1, -1, -2, -2, -1, 3, 2, 28]
[-36, -53, -5, 0, -1, -9, -24, -13]
[3, 56, -4, 7, 4, 10, 38, -36]
[39, 89, 0, -4, 17, 15, 2, 69]
[-32, 60, 12, 11, -7, 11, -10, 27]
[-21, 58, -18, 9, 75, 4, 15, 63]
[-7, 3, 13, -4, -6, 8, 6, -99]
[27, 18, 16, 5, -27, 4, 34, -56]
[-9, -43, -19, -11, 4, 29, 42, -16]
[-93, -17, -19, -16, -3, 26, 16, 23]
[103, -52, 14, 22, 17, -9, -21, 23]
[17, 10, 5, 6, 21, -37, -2, 24]
[-35, -14, 5, -6, -25, 66, 5, 20]
[-5, 18, -7, 0, 11, -5, -2, -27]
[-3, -70, 6, -9, -81, -7, 52, 31]
[-8, -38, -6, -17, -16, -21, -54, -19]
[-96, 92, 5, -11, 3, 48, 50, -52]
[-42, 44, 1, 11, 10, -32, -8, -66]
[70, 43, -5, 1, 15, -9, 1, -32]
[0, 26, 4, -11, -19, 36, -6, -29]
[-4, 64, 5, 15, 28, -27, -14, 26]
[24, -13, 11, -6, -12, -2, -23, -5]
[-40, 3, -23, -21, -24, -13, -9, 14]
[30, 68, 11, 11, 9, -1, 18, -6]
[5, 58, 8, -4, -14, 4, 2, -17]
[-6, 75, 13, 16, 42, 26, 32, 22]
[-17, 32, 2, -11, -40, 9, -18, 56]
[-5, -31, -1, 7, 17, 6, 64, -37]
[14, -18, 8, -2, -19, 6, 49, 6]
[15, 52, 3, 1, 11, 13, 2, -95]
[4, 37, -3, 1, 13, -40, -23, 95]
[-58, -80, -5, -9, -54, -25, -28, 42]
[93, -93, -2, 9, -11, 6, 24, 20]
[-18, 68, 14, -7, -74, 21, 4, 19]
[20, -36, -6, -2, -1, 13, 48, 27]
[45, 32, -12, -25, -20, 27, -33, 26]
[22, -5, 7, -6, -1, 2, -61, -27]
[-17, 42, 10, 4, 11, 12, -28, -67]
[-97, -82, -22, 6, 0, -54, -64, -12]
[59, 1, 1, 3, -7, -10, 59, 4]
[-19, 10, 4, 15, 83, -22, 27, -57]
[9, -42, 6, 8, -6, -10, -15, -17]
[-1, 53, 3, -8, -45, 19, 62, 54]
[-17, -11, 3, 6, 24, 24, 20, 61]
[30, -15, -10, -5, -11, -9, -47, -24]
[20, 23, 4, 6, -7, 0, -12, 20]
[52, -20, -2, -3, -7, 4, 23, 16]
[48, -41, -9, 3, 23, 2, -37, 21]
[-29, 54, 3, 7, 35, 24, 89, 44]
[-43, -31, -15, -3, -10, 22, -37, -31]
[-21, 20, -1, -1, -46, -6, -18, -14]
[-16, 51, 4, 19, 12, -21, -1, -45]
[98, 51, 12, -3, -15, 1, 3, 1]
[-16, 26, 8, -2, 5, -8, -17, -14]
[31, 26, 2, 10, 47, -5, -10, -29]
[-14, 22, 2, 2, 6, -17, -56, 80]
[17, 43, 7, -2, -3, 2, -22, -54]
[-42, 0, 12, 15, 1, -26, -38, -29]
[3, 19, -3, -3, -12, -6, 36, -11]
[-26, -91, -12, 1, 18, 14, 12, -30]
[31, 13, 7, 6, 15, 4, -13, 71]
[6, 38, -10, -14, -16, 22, 61, 20]
