41 7 6 12 1 4 15 5
17 15 36 12 8 1 11 5
20 17 4 2 9 6 6 11
99 10 6 14 0 12 4 21
20 0 6 12 1 3 4 19
13 25 51 16 3 7 7 1
39 30 51 26 6 6 12 3
2 5 23 0 8 0 2 13
1 15 26 2 0 5 2 2
13 17 47 5 2 3 8 1
13 23 46 17 4 2 1 3
41 14 10 22 5 1 15 2
24 28 17 1 5 3 2 13
22 3 4 19 2 6 5 5
19 12 17 5 7 6 4 19
2 20 1 6 1 1 4 2
15 29 46 30 7 2 5 15
10 14 12 2 4 1 2 25
13 5 29 26 1 5 6 13
49 10 39 11 4 2 10 4
30 31 2 5 2 3 10 7
20 8 27 18 3 2 14 14
19 7 8 15 2 0 6 1
2 6 5 6 3 2 2 4
22 16 7 0 4 2 1 3
2 14 18 20 4 4 10 10
48 49 14 2 0 5 7 9
2 10 20 2 4 13 3 7
12 13 13 14 2 2 10 20
11 14 37 11 1 2 2 10
29 11 13 15 4 5 0 26
5 2 5 0 0 2 0 16
12 14 26 9 2 7 1 10
25 10 17 8 5 8 8 5
1 17 26 10 1 1 9 15
25 3 33 6 1 0 3 32
20 3 35 18 5 7 1 2
4 21 4 2 6 7 2 10
25 16 23 3 6 1 4 1
12 7 8 3 2 4 1 6
58 17 2 13 3 6 1 13
6 32 56 7 6 0 21 9
29 10 18 13 1 7 9 18
37 6 10 21 5 10 9 11
12 19 16 3 2 5 3 28
2 2 36 4 2 7 0 28
14 17 38 15 3 1 1 18
21 17 24 16 3 0 2 20
1 24 18 10 6 6 23 5
18 31 4 5 8 3 4 4
0 4 44 5 4 1 4 6
16 19 30 20 1 4 2 17
4 6 23 18 4 5 4 16
25 3 1 6 3 3 1 0
9 1 14 14 3 1 7 13
5 12 20 18 8 3 14 5
9 5 11 4 3 4 7 5
7 8 0 1 5 4 3 15
9 8 4 5 1 5 4 3
4 0 4 7 0 3 1 2
14 11 35 7 2 3 5 11
26 5 48 12 3 2 3 9
9 18 3 5 1 3 4 6
8 12 28 7 4 2 22 12
5 3 15 12 1 3 2 2
0 22 32 7 1 4 4 9
13 7 4 7 1 1 4 9
1 12 22 3 1 0 1 2
12 9 10 0 2 4 7 3
15 6 37 20 0 2 2 8
6 6 7 4 1 1 13 1
2 21 38 19 1 3 3 7
7 11 19 2 1 2 0 1
8 4 7 7 3 5 3 17
15 11 41 2 2 3 3 1
13 16 43 13 5 0 15 10
22 21 21 5 6 7 6 4
1 12 15 17 0 0 6 5
6 18 35 7 3 2 2 3
26 22 89 21 4 8 9 14
0 10 20 19 1 3 4 7
7 2 47 5 2 0 8 1
0 7 8 16 4 1 1 0
2 2 5 20 6 8 11 1
10 0 35 5 3 3 0 6
29 9 33 18 3 4 10 1
6 33 3 5 0 1 12 10
8 9 1 1 1 3 2 19
6 15 28 4 0 2 2 4
3 3 6 0 3 3 0 5
67 10 9 5 2 3 5 12
40 2 36 2 7 0 3 21
24 11 28 0 4 1 1 1
7 8 3 1 0 1 1 5
4 16 5 4 2 0 2 12
3 7 16 5 1 2 0 1
19 4 17 24 1 2 1 14
21 0 24 4 0 1 3 8
8 12 17 11 4 0 2 20
39 16 33 15 4 10 7 12
12 2 6 3 1 5 0 5
23 17 75 0 5 4 10 27
19 11 12 11 2 1 1 8
14 14 3 0 3 5 14 6
17 26 27 14 1 4 0 3
43 5 3 16 1 3 11 7
22 4 23 3 2 2 2 8
2 11 14 11 0 0 21 4
13 4 16 30 6 0 8 10
7 6 21 5 4 0 2 11
25 2 36 5 4 6 5 16
5 21 21 10 0 0 1 4
21 1 13 8 3 6 1 11
1 13 8 4 2 6 0 3
1 2 3 6 3 2 5 11
4 14 21 35 1 6 1 12
5 12 37 1 3 1 9 4
23 11 81 1 1 2 17 15
33 4 9 17 1 1 3 0
26 9 0 2 3 2 1 4
13 2 57 3 4 4 16 11
