22 14 8 4 3 4 1 5
9 3 3 17 5 0 2 4
21 21 4 7 1 2 0 14
22 7 0 5 1 3 2 8
49 8 2 1 0 5 4 3
20 8 12 4 1 1 0 2
1 9 4 5 0 5 6 15
15 13 19 20 3 7 2 1
11 20 17 1 2 4 2 4
18 12 12 0 1 2 1 2
20 1 17 2 3 0 5 9
5 7 10 3 2 9 2 7
13 4 14 11 2 2 2 9
41 28 53 24 1 0 3 4
2 42 7 4 4 4 3 9
2 8 5 10 0 2 4 14
24 6 18 3 0 1 8 3
24 7 17 2 2 5 3 20
13 1 47 13 1 5 2 5
16 14 6 6 2 0 2 1
23 28 3 2 5 0 6 6
14 5 7 5 2 2 2 1
14 17 2 2 2 8 1 13
1 10 46 2 2 5 2 11
29 8 2 1 2 4 4 16
3 1 27 1 1 1 4 2
24 0 13 3 1 1 3 5
9 17 11 5 4 3 4 3
8 9 3 1 2 9 6 7
6 4 3 2 1 0 2 8
19 4 43 5 1 2 5 2
34 3 9 1 2 9 6 3
26 8 23 14 3 1 0 6
4 37 15 11 0 2 6 3
7 17 2 5 1 6 0 9
10 4 6 0 2 0 5 1
16 3 0 0 3 0 4 7
29 9 4 1 2 7 8 0
11 10 31 7 2 2 5 11
29 1 7 5 2 1 0 6
6 1 11 10 0 4 2 8
1 1 7 3 0 5 2 6
23 41 3 3 2 6 4 11
15 3 5 0 1 2 7 2
12 6 13 6 3 3 4 9
22 5 37 5 2 1 1 5
12 2 4 3 1 1 0 0
14 15 24 0 3 2 1 5
7 6 11 5 1 3 2 4
2 17 25 1 1 0 4 9
39 20 7 12 2 5 4 17
14 9 7 3 3 0 0 8
4 2 8 3 3 2 3 8
4 13 1 3 0 0 9 2
14 10 9 2 1 4 1 8
14 9 2 1 2 1 2 3
2 1 31 6 2 3 2 0
13 1 2 10 1 3 2 5
11 5 19 2 0 3 5 3
1 13 10 7 1 0 1 5
11 7 6 2 0 1 3 3
14 14 3 0 4 8 0 10
6 5 15 8 1 3 2 11
8 23 6 5 4 1 3 2
4 6 1 5 2 0 5 1
27 38 28 1 3 2 6 4
42 23 7 5 1 2 3 5
8 17 14 3 0 0 1 0
41 8 13 5 0 0 3 3
12 12 16 6 1 4 9 1
12 4 1 6 2 0 4 2
7 6 3 3 0 0 4 1
16 6 13 6 4 4 2 9
5 6 15 0 0 3 4 0
6 6 6 5 4 4 2 8
14 8 4 1 1 0 3 2
31 0 19 9 2 6 2 9
22 1 0 3 2 1 2 6
20 17 5 9 2 1 1 0
4 18 5 3 1 6 1 11
5 7 6 2 0 1 3 6
6 6 1 25 1 3 2 5
12 10 3 1 0 2 5 1
3 2 13 4 1 2 9 3
7 19 1 0 2 4 5 7
6 5 9 5 3 1 2 1
9 10 14 2 5 2 2 4
11 18 3 23 2 3 0 8
3 0 12 1 1 0 2 5
1 16 23 3 3 2 5 1
12 4 7 8 1 0 3 1
16 10 15 3 2 1 0 10
30 1 21 12 3 1 2 12
11 5 33 6 2 0 4 3
4 21 22 11 1 1 5 5
9 3 29 2 5 8 7 14
7 19 25 4 1 1 8 12
10 19 5 1 0 0 1 4
5 5 9 1 1 2 3 1
5 1 2 5 3 3 4 16
10 7 21 0 3 6 2 4
3 13 5 5 1 1 1 3
18 25 10 3 4 1 1 8
6 5 6 0 3 1 7 5
27 3 5 2 3 3 6 7
0 6 12 1 1 1 1 16
17 6 16 13 3 2 4 9
23 5 23 3 3 5 0 2
15 18 3 1 0 3 7 0
18 14 4 2 0 4 1 5
4 4 19 14 3 2 6 7
10 2 4 6 3 3 1 10
19 5 2 11 3 2 9 7
9 23 10 8 0 0 3 11
10 4 12 2 2 4 8 2
13 18 75 8 1 1 7 4
2 4 17 15 3 3 0 3
11 0 10 14 5 0 6 9
2 5 6 0 1 4 11 6
19 14 9 10 1 1 4 11
4 6 11 7 2 5 12 9
22 1 6 7 1 2 1 0
8 9 4 6 3 3 1 3
10 11 4 1 1 3 11 4
7 12 28 8 2 5 6 15
35 4 22 7 3 7 10 9
21 10 12 6 1 0 0 1
10 44 11 1 0 4 5 1
8 5 9 11 2 2 13 13
17 15 16 1 2 6 6 8
13 7 26 9 2 3 4 2
1 16 17 5 1 2 7 6
10 16 9 0 0 4 3 5
14 7 11 9 4 5 4 4
25 1 7 9 4 6 5 3
7 0 6 1 3 5 4 2
41 4 18 2 3 4 1 8
19 2 1 1 1 3 3 10
31 18 8 5 2 4 4 0
5 10 7 5 3 7 2 6
8 2 14 2 1 0 4 5
13 23 22 15 1 1 1 3
16 21 8 5 3 8 5 11
13 9 11 3 1 2 3 7
14 5 5 2 3 11 0 11
5 5 7 2 0 1 1 15
2 11 3 2 1 1 3 9
9 2 21 8 1 6 4 25
9 5 11 7 3 1 4 2
4 1 13 7 1 0 2 6
1 3 61 7 0 3 1 1
11 5 8 1 1 3 4 7
8 4 10 2 4 5 4 3
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
