0 0 1 0 1 6 11 5
3 2 0 0 3 5 6 10
1 2 2 1 0 2 9 7
1 1 0 1 2 4 0 4
3 3 1 2 3 0 20 21
1 0 0 1 2 1 7 1
1 1 1 1 2 0 8 7
0 1 1 2 2 4 16 2
0 3 1 0 0 2 15 3
1 2 3 1 1 2 19 6
2 0 1 0 1 4 8 10
2 1 2 1 2 1 4 1
3 1 2 0 1 5 9 3
2 0 1 1 0 3 11 3
2 0 1 1 0 1 5 8
1 0 2 1 1 3 6 2
3 2 0 2 1 2 12 6
0 0 0 0 2 3 7 0
1 2 5 2 1 1 20 19
1 2 0 3 0 5 4 11
0 1 1 2 2 2 0 2
3 1 1 0 0 1 11 10
1 1 2 2 2 1 1 0
1 1 2 1 1 4 1 4
3 2 0 1 1 8 2 4
2 1 2 3 1 3 5 7
0 1 1 4 4 6 12 2
1 2 1 1 1 2 10 12
2 1 1 1 0 1 10 3
1 0 0 2 1 5 8 6
0 2 2 1 2 4 8 7
2 0 1 0 0 7 10 2
1 1 0 3 0 4 8 0
1 0 3 2 0 4 9 4
1 0 1 1 2 2 9 3
1 1 1 1 2 10 33 10
0 0 1 2 1 1 2 2
1 1 1 2 1 2 6 13
3 1 1 2 0 1 4 0
1 2 1 1 0 4 1 1
1 2 0 1 1 0 10 6
1 1 1 1 2 3 2 1
0 0 1 3 3 4 3 3
3 2 1 0 1 3 11 5
0 1 1 1 0 3 11 6
3 2 1 0 3 4 0 11
0 2 0 1 3 1 2 2
4 0 1 0 2 3 15 24
1 1 3 0 2 3 2 1
2 1 0 3 2 5 22 2
0 2 2 3 1 0 7 1
1 0 1 2 3 3 5 11
0 2 1 0 0 5 5 0
0 2 2 1 1 1 9 2
0 1 2 1 1 3 15 3
3 3 2 2 0 4 21 8
1 0 1 1 1 2 1 2
1 1 2 1 0 2 4 0
1 0 2 0 0 0 4 3
1 1 1 0 0 5 1 2
3 0 1 1 2 4 28 8
3 0 0 0 0 2 1 5
1 0 1 0 0 1 5 0
1 1 1 0 0 2 5 9
2 1 1 0 2 3 4 4
1 1 1 1 3 4 2 1
1 2 3 0 2 5 3 6
0 1 1 2 2 2 8 5
3 1 2 0 2 0 11 6
2 3 1 1 0 2 0 2
1 1 1 2 2 1 4 4
2 0 2 1 1 3 3 0
1 0 1 1 1 5 12 6
1 3 3 1 1 4 1 9
2 0 1 0 1 2 1 3
3 1 0 0 1 1 2 2
0 2 1 0 0 4 3 13
1 0 1 1 0 3 4 4
1 0 2 2 1 2 3 0
2 1 1 0 2 9 19 4
1 1 0 2 2 8 1 3
1 2 0 1 1 2 3 3
1 0 1 0 1 4 6 1
2 1 1 3 2 1 1 7
2 3 2 1 1 3 5 4
2 0 1 0 2 6 2 5
1 1 1 0 0 2 4 1
1 1 0 2 2 0 1 3
0 1 0 1 2 3 4 2
0 3 2 0 1 6 11 3
3 1 1 1 1 0 2 3
2 1 0 1 3 5 8 5
2 0 1 0 0 1 12 11
0 2 0 2 2 3 9 6
1 2 1 1 1 1 1 0
1 2 2 0 0 1 7 6
2 1 1 0 1 5 4 1
0 2 1 1 1 0 3 3
0 1 0 1 2 0 2 1
2 1 0 1 1 2 15 3
3 3 2 0 1 0 0 1
0 1 1 2 0 1 7 6
1 1 0 2 3 3 5 2
0 1 2 0 2 4 1 1
0 1 0 1 2 8 0 2
0 0 1 1 0 0 3 1
1 1 0 0 1 10 8 3
1 0 0 3 2 1 2 3
2 0 1 0 5 0 4 3
1 1 0 1 1 4 2 10
1 1 0 2 0 1 2 1
1 0 1 1 1 1 3 0
0 1 0 0 2 0 2 1
1 1 2 1 2 2 1 1
1 1 1 2 0 4 11 4
2 1 1 3 0 2 5 2
2 1 1 2 2 1 3 1
1 0 2 2 1 3 2 0
0 2 1 0 0 1 9 4
1 1 0 1 0 3 2 2
1 0 2 1 0 2 9 10
1 0 0 0 1 0 3 5
1 0 0 1 0 1 6 0
0 0 1 0 0 4 0 3
0 1 1 0 0 1 6 4
1 1 2 1 4 1 5 2
0 2 1 0 2 2 2 2
2 0 2 1 3 2 1 5
3 1 2 0 1 1 9 5
0 2 1 0 1 1 4 2
1 1 2 0 1 1 9 3
1 1 1 2 0 1 5 2
1 1 0 1 3 5 4 2
0 1 1 1 1 0 10 4
1 1 2 2 0 0 6 4
1 2 1 0 0 3 2 0
1 0 0 0 0 0 7 1
2 1 1 1 1 1 5 2
0 0 2 0 1 11 1 2
2 3 0 0 1 1 1 2
1 1 3 1 0 3 7 3
0 1 1 0 0 1 6 2
0 1 0 1 2 2 4 1
1 0 1 1 1 0 3 7
0 2 0 1 0 1 0 2
2 3 0 0 2 1 12 2
0 0 1 2 2 0 2 3
0 1 0 0 2 5 3 0
2 1 1 1 1 2 4 5
1 3 1 0 0 4 7 1
0 2 1 2 1 5 16 4
1 0 0 2 1 4 3 1
2 2 2 0 1 0 9 1
2 2 0 2 4 6 9 2
0 2 2 2 1 6 0 3
0 1 1 3 1 0 23 3
0 1 1 1 0 3 0 7
1 0 0 3 1 0 9 1
1 2 2 1 1 2 3 2
1 0 1 1 2 1 2 6
2 1 2 1 2 1 2 2
0 1 2 0 1 0 5 4
1 1 1 2 0 1 4 3
0 1 2 1 2 4 3 4
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
