25 4 5 8 2 1 1 1
3 2 15 8 1 2 6 2
9 24 22 1 0 4 8 5
5 10 9 17 1 1 3 5
55 2 11 1 6 11 3 4
30 2 1 2 1 5 3 7
9 5 60 16 11 7 4 4
59 10 7 13 6 2 4 5
24 2 15 17 4 2 5 5
57 10 19 16 3 6 4 6
39 18 21 24 5 4 3 7
11 7 12 15 5 4 0 0
30 9 7 7 14 10 1 9
30 23 5 18 11 4 1 6
26 24 5 9 7 14 3 5
38 11 20 1 3 6 9 8
4 6 35 2 5 7 1 3
3 23 14 9 5 5 4 4
9 14 9 9 2 0 4 6
2 10 3 4 8 8 4 1
19 7 53 14 1 2 5 7
45 9 19 11 5 4 3 1
76 31 34 4 4 4 1 1
57 14 2 11 3 2 4 2
12 0 14 31 6 6 7 5
84 13 8 8 3 5 4 3
8 1 21 15 2 8 3 3
22 16 19 18 6 3 2 3
21 0 6 9 2 1 0 3
26 10 8 1 5 4 3 7
28 1 14 6 8 7 1 6
16 25 1 15 7 2 4 1
11 4 3 1 4 0 1 2
9 4 11 3 1 2 1 2
13 15 10 35 5 5 6 8
9 10 7 7 2 2 6 2
16 8 23 12 4 7 5 7
38 34 3 14 5 0 6 1
14 26 14 11 3 3 0 1
28 8 15 27 7 16 4 10
21 18 11 7 7 6 14 12
60 18 5 2 3 1 1 3
40 9 18 12 8 3 8 3
7 36 26 30 7 5 3 8
11 4 25 13 5 4 1 2
18 1 8 6 3 2 3 3
8 8 7 4 2 5 1 4
2 2 21 6 1 3 2 3
15 13 8 1 0 2 3 3
2 13 4 2 1 1 2 9
6 10 1 4 0 7 3 0
0 18 10 4 1 2 6 4
14 3 11 1 1 0 1 5
3 12 0 4 0 5 13 1
1 16 2 6 8 0 9 2
2 13 3 9 1 1 7 5
13 3 2 5 7 6 5 2
19 4 1 1 1 0 1 3
3 8 4 1 5 4 3 5
9 3 7 1 0 1 1 4
8 2 21 0 4 8 5 5
13 11 16 6 2 3 6 8
5 6 53 10 2 6 0 11
2 3 16 2 5 3 0 2
2 16 3 1 0 0 5 7
5 10 24 4 1 3 1 1
5 4 9 2 1 2 1 2
10 10 4 2 1 7 0 5
2 8 5 7 3 2 4 0
13 6 7 8 5 5 3 2
1 10 9 6 0 4 2 3
5 13 7 2 3 4 1 3
23 12 5 1 0 0 0 0
15 0 18 0 1 0 1 2
10 6 9 8 1 3 4 1
7 9 10 0 0 4 4 0
21 10 2 3 0 0 3 3
