"TIME","CH1","CH2","CH3"
-9.706e-01,-0.01,-0.02,0
-9.704e-01,0.01,0,-0.01
-9.702e-01,-0.01,-0.02,-0.03
-9.700e-01,-0.01,-0.01,-0.02
-9.698e-01,-0.01,-0.02,-0.02
-9.696e-01,0.01,0,-0.01
-9.694e-01,1.42109e-16,-0.03,-0.01
-9.692e-01,-0.01,0.01,0
-9.690e-01,1.42109e-16,0,-0.01
-9.688e-01,-0.02,-0.01,-0.01
-9.686e-01,-0.02,-0.03,-0.03
-9.684e-01,-0.01,0,-0.02
-9.682e-01,-0.02,-0.01,-0.02
-9.680e-01,-0.01,0.02,-0.02
-9.678e-01,-0.02,-0.02,-0.04
-9.676e-01,1.42109e-16,-0.01,-0.04
-9.674e-01,1.42109e-16,-0.01,-0.03
-9.672e-01,-0.02,-0.02,-0.03
-9.670e-01,-0.01,-0.02,-0.02
-9.668e-01,-0.01,-0.03,-0.02
-9.666e-01,-0.02,-0.02,0
-9.664e-01,0.01,-0.02,-0.04
-9.662e-01,-0.02,-0.02,-0.03
-9.660e-01,-0.01,-0.01,-0.01
-9.658e-01,-0.01,-0.01,-0.01
-9.656e-01,-0.02,-0.03,0
-9.654e-01,-0.01,-0.01,-0.01
-9.652e-01,-0.01,-0.01,-0.01
-9.650e-01,0.01,-0.02,-0.02
-9.648e-01,1.42109e-16,-0.02,-0.02
-9.646e-01,0.01,-0.01,-0.02
-9.644e-01,-0.02,-0.01,-0.03
-9.642e-01,-0.01,0,-0.02
-9.640e-01,-0.01,-0.02,-0.02
-9.638e-01,1.42109e-16,-0.03,-0.01
-9.636e-01,-0.02,-0.02,-0.03
-9.634e-01,-0.01,0.01,-0.01
-9.632e-01,1.42109e-16,0,-0.01
-9.630e-01,-0.01,0,-0.01
-9.628e-01,-0.03,-0.01,-0.01
-9.626e-01,-0.02,-0.01,-0.01
-9.624e-01,-0.02,-0.01,-0.01
-9.622e-01,-0.02,0.01,-0.01
-9.620e-01,-0.02,0,0
-9.618e-01,-0.01,-0.01,0.01
-9.616e-01,1.42109e-16,0.01,-0.01
-9.614e-01,-0.02,-0.01,0
-9.612e-01,-0.01,0.01,0
-9.610e-01,-0.02,0.01,0.01
-9.608e-01,-0.01,0.01,0.01
-9.606e-01,-0.01,0,0
-9.604e-01,-0.01,0.03,0.01
-9.602e-01,-0.01,0,0.01
-9.600e-01,-0.01,0,0.01
-9.598e-01,1.42109e-16,0.02,0.01
-9.596e-01,-0.02,0,0
-9.594e-01,-0.01,0.03,0.02
-9.592e-01,-0.03,-0.01,0.01
-9.590e-01,-0.02,0.02,0.02
-9.588e-01,-0.01,0.03,0.02
-9.586e-01,-0.03,0,0.03
-9.584e-01,-0.03,-0.01,0.01
